"DM";"Localisation"
90.8732834;1
90.4887695;1
89.974617;6
91.8358231;4
90.5551453;1
89.8593445;6
90.8745346;7
91.3021774;4
90.8495941;4
90.3635864;7
89.7630234;6
89.923233;6
89.696846;6
90.2594757;2
89.8434143;3
89.8979568;6
90.2555695;2
89.7292099;6
90.5741196;7
89.6817169;6
90.1243973;6
89.9199142;6
89.8794327;5
90.5897446;6
90.0411987;5
90.1138382;3
90.4192886;2
89.8172455;6
90.7604904;1
90.1675415;5
89.9993896;3
90.3017197;7
90.4437256;2
90.3765793;5
90.0112915;6
90.0895996;5
90.3085022;7
90.0691528;5
89.8282318;6
90.8429031;1
89.7337265;5
89.6356277;6
90.9020004;7
90.1252518;6
90.5801315;2
89.5801544;2
89.8389053;3
91.4495773;7
89.8976593;6
89.0283966;3
90.0832062;2
89.2449112;3
90.3667984;6
89.7808838;3
90.535965;1
90.4841156;1
90.7450333;1
90.4055405;3
90.0870972;6
90.2217636;2
89.8467178;6
90.0738602;7
90.1812973;6
90.0453796;6
90.4075928;2
89.6792374;3
90.265564;6
90.0450668;3
90.3658295;1
89.7474899;1
89.8377914;7
90.2353821;2
90.5206146;1
91.3585739;7
90.3273087;6
89.3968811;6
91.0407639;1
90.471817;1
90.0187683;2
89.2951508;3
90.4235535;2
91.0994644;4
90.9922104;1
89.2350235;3
90.9142303;7
89.967308;6
89.8910446;6
90.7796249;7
89.9070435;6
89.7623672;1
90.8043213;7
90.5634232;1
90.4465485;2
90.1545486;2
90.1378479;6
90.1362534;3
88.9860687;3
89.590477;6
89.4896851;1
89.8139725;3
91.0795441;7
89.7252274;6
90.2356949;5
90.0562668;1
90.0764923;7
89.464386;1
89.8318863;6
89.8321838;6
89.7808609;6
90.5741272;1
89.7362137;6
89.4703522;6
90.3092117;6
90.6264114;6
90.065773;2
89.5891495;6
89.3868332;1
90.1235199;6
91.8794022;4
90.1682358;6
90.9206238;4
90.0704041;6
90.7373199;1
90.1168747;6
90.568718;5
89.2395401;3
90.6789246;1
90.1965714;6
90.5548782;1
90.4832153;5
89.5727921;6
89.8153763;6
89.6629639;6
89.9016876;2
89.6849289;3
89.873497;6
89.8349686;6
89.8515244;5
90.0750809;1
90.5344086;7
89.7621994;6
89.6972351;5
90.4821091;4
89.8327484;6
89.5989151;6
89.8493195;2
91.3197403;4
89.9351273;1
89.8504791;1
89.4004364;6
89.6857834;6
90.3112946;7
90.0916443;1
90.2730865;2
88.5722275;7
89.2260971;3
89.9576111;1
89.5313339;6
89.9175415;5
89.7905273;1
90.0006256;1
90.348465;6
90.5629883;2
91.6918488;4
90.2608414;6
90.3601608;2
89.8305359;1
90.4766159;1
90.3311691;6
89.8424606;6
89.1171799;5
91.1983719;4
90.6043625;1
89.6363754;3
90.4184647;7
90.7173233;1
90.2986832;6
90.5958176;1
90.0631866;2
90.3787003;6
89.8207169;3
89.9672241;3
91.0354309;1
90.0203934;6
90.0825577;6
91.9360657;4
90.7054749;2
90.07827;6
90.0624237;6
90.6269455;1
91.0372009;1
90.3749771;6
90.4009018;2
90.2085495;3
90.362793;2
90.4637833;5
90.192337;5
90.7047195;1
90.1041107;6
90.4957275;1
90.6584091;1
90.4617844;6
90.6385727;1
90.2270203;1
89.485466;6
90.2967758;6
90.3047791;3
90.7091141;1
90.3605804;6
89.9568024;5
90.2726669;6
89.3121948;3
91.1751862;1
91.825882;4
89.7455292;6
90.3046494;6
90.298172;2
90.1372299;6
90.0294647;6
90.1027679;1
90.2528687;5
90.0090561;6
90.3555527;1
91.4214401;4
90.1442871;5
90.4105606;2
90.1214371;6
89.9804764;6
90.3223953;6
90.3219223;1
89.8038712;3
89.2731552;3
89.899826;5
90.1487579;1
89.8077469;6
90.1250534;6
90.3728027;6
90.3464432;6
90.5702972;5
91.2380219;5
