;abies;acer;alnusfru;alnusund;apiaceae;artemisia;asterund;betunana;betula;brassicaceae;carpinus;chenopodiaceae;corylus;cyperaceae;ephedra;ericaceae;fagus;fraxinus;juniperus;larix;olea;picea;pinushap;pinus;plantago;poaceae;quercusever;quercusdec;salix;tilia;ulmus
BP1;6.71140939597315;0.671140939597315;0;6.04026845637585;0.223713646532438;0;0;0;6.48769574944072;0;1.34228187919463;0;9.61968680089487;6.48769574944072;0;0;11.6331096196868;2.9082774049217;0.894854586129755;0;0;6.9351230425056;0;5.14541387024609;2.46085011185683;17.2259507829977;0;13.6465324384787;0.671140939597315;0.447427293064877;0.447427293064877
BP2;6.2962962962963;0.185185185185185;0;8.33333333333333;2.22222222222222;0;0;0;1.48148148148148;0;0.185185185185185;0;3.33333333333334;4.81481481481481;0;0;4.25925925925926;1.85185185185185;0.555555555555555;0;0;7.4074074074074;0;5.74074074074074;4.62962962962963;41.6666666666667;0;5.92592592592593;0.555555555555555;0.555555555555555;0
BP3;6.3526834611172;0.328587075575027;0;6.46221248630888;1.75246440306681;0.109529025191676;0;0;2.30010952902519;0;0.547645125958378;0.109529025191676;3.72398685651697;7.44797371303396;0;0.109529025191676;8.21467688937569;1.20481927710843;0.328587075575027;0;0;7.55750273822564;0;5.80503833515881;7.55750273822564;31.8729463307776;0;7.44797371303396;0.438116100766703;0.219058050383351;0.109529025191676
BP4;5.23690773067332;0.374064837905237;0;6.73316708229426;0.997506234413965;0.124688279301745;0;0;1.87032418952618;0;0.124688279301745;0.124688279301745;6.73316708229426;7.60598503740648;0;0.124688279301745;11.5960099750623;1.37157107231921;1.6209476309227;0;0;5.61097256857855;0;4.98753117206983;5.98503740648379;27.0573566084788;0;10.8478802992519;0.623441396508729;0.249376558603492;0
BP5;8.63787375415283;0;0;11.4617940199336;0.830564784053157;0.332225913621262;0;0;2.99003322259136;0;0.996677740863788;0;7.80730897009967;3.98671096345515;0;0.166112956810631;8.80398671096346;0.830564784053157;1.49501661129568;0;0;9.63455149501662;0;3.48837209302325;4.81727574750831;17.109634551495;0;15.2823920265781;0.830564784053157;0.498338870431893;0
BP6;7.53860127157131;0.635785649409628;0;12.3524069028156;0.454132606721163;0;0;0;4.08719346049046;0;0.36330608537693;0.0908265213442326;10.4450499545868;5.35876475930972;0;0;8.44686648501363;0.817438692098094;1.27157129881926;0;0;8.99182561307902;0;5.08628519527702;2.81562216167121;12.3524069028156;0;17.4386920980927;1.18074477747502;0.0908265213442326;0.181653042688465
BP7;5;0.116279069767441;0;15;0.58139534883721;0.116279069767441;0;0;8.13953488372092;0;0.58139534883721;0.116279069767441;13.953488372093;3.48837209302325;0;0.116279069767441;9.1860465116279;0.465116279069767;1.62790697674418;0;0;7.32558139534883;0;5.11627906976744;2.09302325581396;11.046511627907;0;15;0.930232558139535;0;0
BP8;4.99468650371945;0.212539851222104;0;17.3219978746015;0.212539851222104;0;0;0;8.07651434643996;0;0.318809776833156;0.106269925611052;14.8777895855473;5.95111583421891;0;0;8.60786397449521;0.318809776833156;2.8692879914984;0;0;5.84484590860786;0;3.29436769394261;2.76301806588735;10.201912858661;0;12.6461211477152;1.06269925611052;0.106269925611052;0.212539851222104
BP9;4.79041916167664;0.239520958083832;0;10.7784431137725;0;0;0;0;7.54491017964072;0;0.479041916167664;0;13.0538922155689;5.26946107784431;0;0.359281437125748;12.3353293413174;0.958083832335329;2.9940119760479;0;0;5.86826347305389;0;2.39520958083832;2.75449101796407;12.2155688622754;0;16.0479041916168;1.55688622754491;0.119760479041916;0.239520958083832
BP10;5.99144079885876;0.14265335235378;0;14.5506419400856;0.42796005706134;0.285306704707561;0;0;6.13409415121254;0;0.57061340941512;0.14265335235378;9.84308131241082;3.42368045649072;0;0.14265335235378;12.981455064194;0.285306704707561;1.99714693295292;0;0;3.70898716119828;0;1.56918687589158;2.28245363766048;14.6932952924394;0;18.5449358059914;1.85449358059914;0.285306704707561;0.14265335235378
