Juge;Produit;Seance;Odeur de cacao;Odeur de lait;Saveur sucree;Saveur acide;Saveur amere;Arome de cacao;Arome de lait;Arome de caramel;Arome de vanille;Astringence;Croquant;Fondant;Collant;Granuleux
1;Ethiquable_70;1;8;3;1;7;10;8;1;1;1;6;3;4;4;1
1;Lindt_78;1;4;1;1;1;6;9;1;1;1;10;4;6;1;1
1;Repere_72;1;2;7;8;1;2;8;2;8;4;8;8;6;1;1
1;Nestle_80;1;2;4;2;7;8;4;2;2;4;7;7;6;6;1
1;Ethiquable_75;1;4;8;7;2;5;7;6;1;1;6;7;7;8;1
1;Lindt_70;1;4;6;2;8;6;5;1;2;9;4;6;5;4;1
1;Nestle_70;1;4;2;2;5;8;6;2;2;7;6;3;8;6;1
1;Repere_85;1;4;7;7;2;6;8;4;7;2;9;9;5;5;7
1;Lindt_85;1;4;6;1;7;7;6;6;2;8;8;7;6;6;1
2;Nestle_70;1;5;2;3;2;3;4;2;1;1;1;6;6;3;1
2;Lindt_85;1;2;1;1;2;7;6;1;1;1;7;6;3;1;2
2;Ethiquable_75;1;2;1;1;2;5;6;1;1;1;4;7;5;4;2
2;Repere_85;1;3;1;2;3;4;6;1;1;1;2;7;2;2;2
2;Repere_72;1;6;5;6;2;3;5;4;1;1;1;7;6;3;1
2;Lindt_70;1;4;1;3;2;2;5;3;1;1;2;7;7;2;1
2;Ethiquable_70;1;3;1;2;4;3;5;2;1;1;1;5;4;5;4
2;Nestle_80;1;2;1;6;3;4;6;1;8;1;2;3;7;2;4
2;Lindt_78;1;4;1;3;1;3;5;2;1;1;2;2;7;2;4
3;Ethiquable_75;1;7;2;4;3;7;8;4;3;5;5;8;3;3;3
3;Repere_72;1;5;5;7;2;4;5;6;2;5;4;8;5;2;3
3;Nestle_70;1;4;3;6;4;3;4;6;3;4;3;4;7;3;3
3;Ethiquable_70;1;5;3;2;7;6;5;3;2;2;6;8;4;4;3
3;Lindt_85;1;8;3;1;4;8;8;2;2;4;6;8;2;4;2
3;Lindt_78;1;6;3;5;2;3;5;5;2;6;2;6;6;3;2
3;Repere_85;1;4;3;4;2;6;7;5;2;4;4;9;2;3;2
3;Nestle_80;1;5;2;8;2;3;4;6;2;6;1;4;7;2;2
3;Lindt_70;1;6;2;7;3;2;4;4;5;3;4;6;5;5;2
4;Lindt_85;1;8;2;2;1;7;10;1;1;1;8;5;6;1;1
4;Nestle_70;1;7;3;6;2;5;7;5;2;2;4;4;2;1;1
4;Lindt_70;1;8;1;3;2;5;8;1;1;4;4;7;3;1;1
4;Ethiquable_75;1;6;2;1;1;9;10;6;1;2;7;5;5;1;1
4;Nestle_80;1;7;2;2;1;1;8;2;2;1;7;5;4;2;1
4;Repere_72;1;6;2;5;2;5;7;5;1;2;4;3;5;3;1
4;Lindt_78;1;4;1;1;1;9;9;1;1;1;5;3;6;3;1
4;Ethiquable_70;1;10;1;1;4;10;10;1;1;1;10;6;7;3;1
4;Repere_85;1;8;2;4;1;6;9;3;1;1;6;6;5;1;1
5;Nestle_80;1;8;1;4;7;9;8;1;1;2;7;10;3;1;1
5;Lindt_70;1;9;1;1;6;10;9;1;3;1;10;10;4;2;1
5;Lindt_78;1;9;1;4;2;10;7;1;1;1;10;10;5;1;1
5;Repere_85;1;10;1;1;1;10;6;1;1;1;10;10;3;1;1
5;Ethiquable_70;1;9;1;4;7;8;9;1;1;1;7;10;1;1;1
5;Lindt_85;1;10;1;4;6;9;8;1;1;1;9;10;4;1;1
5;Repere_72;1;10;2;4;4;8;8;2;1;2;4;8;6;1;1
5;Nestle_70;1;7;3;3;5;5;8;3;2;2;3;7;4;1;1
5;Ethiquable_75;1;2;1;1;2;6;5;1;1;1;6;10;6;3;1
6;Nestle_70;1;9;7;4;6;9;7;1;3;1;7;5;1;4;1
6;Ethiquable_75;1;4;5;1;2;10;3;1;7;1;4;7;1;4;4
6;Lindt_85;1;6;7;2;9;7;5;7;5;1;5;6;1;4;5
6;Repere_72;1;8;6;7;4;6;8;6;2;3;7;8;6;6;5
6;Repere_85;1;3;1;6;5;4;9;7;4;4;7;3;7;6;6
6;Ethiquable_70;1;4;7;9;8;2;4;1;6;2;3;2;7;5;2
