	Jutosite	croquant	Tendrete	pateux	Fibreux	salee	sucree	viande	Assaison	metal	urine	gras	braise	lactique	globale
P1            	3.00	0.40	6.50	1.40	4.80	5.50	2.40	5.60	4.70	1.00	1.20	4.30	1.30	0.90	6.74
P2            	2.40	0.50	5.20	1.30	4.80	5.30	1.30	6.00	4.50	1.30	1.40	4.60	1.30	1.10	6.79
P3            	3.50	0.50	5.30	1.30	5.10	5.00	1.50	6.40	5.50	1.10	0.60	4.70	1.90	0.80	6.48
P4            	2.30	1.30	5.50	1.00	4.60	5.90	1.20	5.50	4.20	0.90	1.00	4.30	2.80	0.70	6.46
P5            	3.50	1.20	6.30	1.50	3.80	5.50	2.80	4.60	5.90	1.00	2.00	4.80	1.50	1.20	5.88
P6            	2.80	1.00	6.00	0.80	4.00	5.60	1.30	5.00	4.30	1.30	1.60	4.50	0.90	1.20	6.69
P7            	2.60	0.10	7.30	2.00	4.30	5.60	1.60	5.60	4.40	1.00	1.50	4.50	1.60	2.10	6.50
P8            	3.60	1.10	6.00	2.00	4.20	6.10	1.20	5.90	4.60	1.10	1.20	5.30	1.20	1.50	6.58
P9            	3.40	0.30	5.80	1.20	4.50	5.40	1.80	5.50	3.70	1.20	3.40	4.80	0.80	1.30	5.62
P10           	2.50	0.60	6.30	0.80	4.20	5.40	1.80	4.80	4.90	0.90	2.20	4.30	2.20	2.20	5.00
P11           	3.70	0.80	5.50	1.50	4.70	5.30	2.50	4.90	5.10	1.70	1.40	4.00	1.30	0.80	5.59
P12           	2.60	0.30	5.90	1.50	4.70	5.00	1.40	5.50	5.20	0.70	0.50	4.30	1.10	0.10	6.67
P13           	2.50	1.10	5.20	0.80	5.90	5.50	1.30	6.00	3.70	0.60	1.90	5.00	1.00	1.10	6.86
P14           	3.30	0.20	6.30	0.80	5.30	5.70	1.50	5.80	4.30	1.70	1.50	4.80	1.30	1.60	6.71
P15           	4.00	0.80	6.10	1.10	4.00	6.20	3.20	3.70	7.00	1.10	0.60	4.30	1.80	0.60	5.57
P16           	2.20	1.30	5.80	1.40	4.40	5.10	1.60	6.20	3.80	0.60	1.30	5.30	1.50	0.50	6.83
P17           	2.40	0.30	5.70	1.00	4.80	5.40	1.60	5.00	4.50	1.80	2.10	4.50	1.50	2.50	5.72
P18           	3.30	0.40	6.60	2.00	4.30	5.70	1.50	5.80	4.30	1.30	1.50	5.80	0.80	1.10	6.95
P19           	5.50	2.30	6.40	2.10	3.00	5.50	4.60	1.90	8.20	0.60	1.20	4.30	1.20	2.20	3.95
P20           	2.30	0.50	5.50	1.00	4.90	5.60	1.60	6.00	3.80	1.20	1.70	5.00	0.70	1.00	6.47
P21           	3.10	0.30	7.10	2.00	4.20	5.70	3.70	3.30	6.50	0.90	0.80	4.70	1.50	1.50	6.68
