Annee;Temp
1873;10.69
1874;10.94
1875;10.85
1876;11.2
1877;11.05
1878;10.7
1879;8.74
1880;11.05
1881;10.19
1882;10.91
1883;10.82
1884;11.49
1885;10.51
1886;11.08
1887;9.73
1888;9.84
1889;10.32
1890;9.97
1891;10.39
1892;10.77
1893;11.43
1894;11.09
1895;10.72
1896;10.52
1897;11.21
1898;11.24
1899;11.34
1900;11.58
1901;10.54
1902;10.38
1903;10.74
1904;10.92
1905;10.5
1906;11.12
1907;10.78
1908;10.47
1909;10.21
1910;10.92
1911;11.88
1912;11.01
1913;11.28
1914;11.12
1915;10.99
1916;10.99
1917;9.97
1918;11.18
1919;10.41
1920;11.16
1921;12.11
1922;10.45
1923;11.15
1924;10.73
1925;10.63
1926;11.44
1927;10.91
1928;11.83
1929;11.05
1930;11.68
1931;10.79
1932;11.35
1933;11.28
1934;12.01
1935;11.44
1936;11.37
1937;11.88
1938;11.69
1939;11.4
1940;10.7
1941;10.8
1942;10.9
1943;11.99
1944;11.27
1945;12.24
1946;11.12
1947;12.39
1948;11.75
1949;12.36
1950;11.57
1951;11.37
1952;11.37
1953;11.72
1954;11.07
1955;11.32
1956;10.42
1957;11.69
1958;11.54
1959;12.8
1960;11.76
1961;12.53
1962;10.65
1963;10.29
1964;11.57
1965;11.14
1966;11.92
1967;11.89
1968;11.22
1969;11.73
1970;11.64
1971;11.79
1972;11.26
1973;11.78
1974;12.02
1975;11.83
1976;12.49
1977;11.81
1978;11.11
1979;11.11
1980;11.17
1981;11.82
1982;12.41
1983;12.37
1984;11.77
1985;11.14
1986;11.33
1987;11.19
1988;12.45
1989;12.98
1990;13.13
1991;11.86
1992;12.39
1993;11.93
1994;13.14
1995;12.9
1996;11.41
1997;12.93
1998;12.44
1999;13.11
2000;12.93
2001;12.61
2002;13.05
2003;13.23
2004;12.51
2005;12.79
2006;13.02
2007;13.02
2008;12.47
2009;12.69
2010;11.8
2011;13.74
2012;12.71
2013;12.2
2014;13.68
2015;13.47
2016;12.87
2017;13.39
2018;13.91
2019;13.66
2020;14.28
2021;12.86
2022;14.3
2023;14.27
2024;13.5
