position;COD_p90;distance_source;alti;taille_cours_d_eau;region;debit_p10;debit_moy;debit_p90;carb_urb;carb_ind;carb_elev;carb_sols;sup_bv;foret;prairie;culture;urbain;divers;d_pop;d_betail;Ptot_p90;NO3_p90;DBO_p90;NH4_p90;MES_p90;conduct._p90
Amont;4,473125;16267,5;173,352005;petit;bassin_parisien;0,34730226;0,7134826;1,3498578;34,66188431;9,776761055;118,1953049;275,8483582;81,75;0,09011621;0,711694241;0,176819578;0,007963303;0,013492358;40,88073349;77,11009426;0,1682625;12,89125;1,863055556;0,0912625;42,73875;644,5428571
Amont;3,229125;26350,7;49,89899826;moyen;bassin_parisien;1,955885;2,6585484;3,6848853;105,722496;120,4375763;436,3970337;957,6671143;325,25;0,141331285;0,484716356;0,355074614;0,007139124;0,011818598;45,73405075;71,55883503;0,200745833;16,51984127;2,0875;0,256363492;49,31428571;584,8607143
Amont;4,625714286;4388,2;69,4960022;tres petit;bassin_parisien;0,043928582;0,06580168;0,08876361;7,217247009;0;32,74762344;19,70044136;12;0,019416666;0,850166559;0,130249992;8,33E-05;8,33E-05;73,08333588;145,5449982;0,128735714;11,70066667;1,753571429;0,05014381;25,5002381;604,4933333
Amont;3,067166667;31889,4;39,60699844;tres petit;bassin_parisien;1,2601855;1,5575385;1,9426858;93,88543701;0,840000033;247,5470734;404,2430725;165;0,065709099;0,545260549;0,373290896;0,007175757;0,008666668;36,61212158;80,01522255;0,11605;18,59386364;1,822727273;0,068016667;26,58333333;580,0568182
Amont;5,154071429;30436,6;70,03199768;petit;bassin_parisien;0,34747052;0,91126895;1,9217367;51,22963333;0;282,7286072;403,8106384;203,25;0,077781059;0,432054102;0,469736785;0,008669127;0,011842562;17,14637184;74,18873668;0,116534286;50,86585714;1,825;0,069646667;51,25985714;728,0014286
Amont;3,690142857;19300,2;48,18899918;tres petit;bassin_parisien;0,16136207;0,30894592;0,5319098;68,31446075;2,166771173;65,05031586;110,7881393;55,75;0,044448424;0,244914785;0,585363269;0,049901336;0,075533628;184,8430481;62,23049593;0,215166667;48,5625;2,206964286;0,148287302;34,24428571;708,9444444
Amont;2,2536;9326,7;20,91900063;tres petit;bassin_parisien;0,18709303;0,3991188;0,741421;19,2013092;0;41,83443451;160,1625824;75,75;0,026204621;0,049953796;0,875498354;0,01778218;0,030600654;65,16171265;29,45438766;0,040057619;68,30504762;1,363190476;0,071893333;12,585;816,1785714
Amont;5,931404762;12356,9;6,507999897;tres petit;bassin_parisien;0,24517435;0,4210943;0,7068695;39,43597031;14,48999977;75,26568604;109,3583679;61,75;0,029732795;0,836728692;0,106914982;0,010267206;0,016388662;67,30364227;65,00680542;0,16812;8,932;1,921285714;0,110035714;26,22666667;624,3266667
Amont;5,656724359;26188,4;157,2380066;moyen;bassin_parisien;0,34910056;2,2872381;6,0655756;96,08862305;4,232246399;466,3404541;1015,905151;336,5;0,116338789;0,463441312;0,388204992;0,0087578;0,023369987;31,10549736;73,91230488;0,097655303;23,13363636;2,013181818;0,064054545;37,75666667;656,5166667
Amont;7,381142857;19010,8;168,7449951;tres petit;bassin_parisien;0,048263118;0,39331493;1,192703;16,38166428;0;103,6578827;191,1908264;82;0,125402451;0,636987746;0,207024395;0,006646341;0,024060979;25,45121956;67,419765;0,144557143;23,812;2,009333333;0,091747143;39,81442857;690,0866667
