Pourcentage reel;Pourcentage percu
85;60
85;70
85;85
85;85
85;80
85;90
85;90
85;50
85;90
85;80
85;30
85;95
85;80
85;55
85;65
85;70
85;60
85;65
85;45
85;70
85;65
85;60
85;90
85;90
85;70
85;90
85;55
85;65
85;70
85;75
85;60
85;80
85;70
85;90
85;90
85;70
85;60
85;90
85;95
85;95
85;90
85;99
85;60
85;70
85;80
85;65
85;60
85;85
72;80
72;70
72;85
72;73
72;75
72;60
72;55
72;70
72;60
72;40
72;40
72;65
72;60
72;69
72;82
72;50
72;60
72;75
72;80
72;53
72;70
72;70
72;95
72;72
72;75
72;80
72;75
72;90
72;45
72;40
72;50
72;50
72;75
72;80
72;70
72;30
72;85
72;85
72;85
72;80
72;60
72;50
72;78
72;65
72;55
72;80
72;75
72;50
