Desnite;Butyreux;Proteine;Caseine;Extrait sec;Rendement
1,032;37,70;35,70;28,50;127,10;15,35
1,032;37,50;35,30;28,00;128,70;14,72
1,031;37,00;32,80;25,30;124,10;14,61
1,031;39,50;33,70;26,80;127,50;14,56
1,031;36,00;32,80;25,90;121,60;13,74
1,032;36,00;33,80;26,90;124,50;14,31
1,031;36,00;33,80;26,90;125,30;14,13
1,031;36,70;34,10;27,00;124,90;14,16
1,029;37,20;31,50;24,80;122,50;14,13
1,03;35,00;31,60;24,90;121,00;14,58
1,028;34,70;29,90;23,50;114,70;13,83
1,026;31,50;30,10;23,60;111,10;13,18
1,027;30,50;30,10;23,80;115,00;13,45
1,027;31,60;29,80;23,30;112,70;12,82
1,026;34,90;29,70;23,20;113,50;13,36
1,028;35,70;32,50;25,70;120,10;14,61
1,028;37,90;31,80;25,00;122,60;14,74
1,029;34,60;32,90;26,10;120,80;13,74
1,028;36,60;32,20;25,30;121,10;14,63
1,03;37,20;32,10;25,60;123,40;14,74
1,03;34,00;33,10;26,40;119,70;13,8
1,03;35,30;33,30;26,00;121,50;14,07
1,03;35,80;33,90;26,60;121,70;14,57
1,03;35,90;33,80;26,50;121,40;14,88
1,029;34,80;32,90;26,20;118,40;13,99
1,029;35,90;33,40;26,30;121,10;14,12
1,029;35,50;32,70;25,40;119,90;13,81
1,03;35,80;35,70;28,00;122,80;14,69
1,03;37,00;34,90;27,70;125,50;15,31
1,03;35,80;33,90;26,80;122,60;14,37
1,031;34,20;34,50;27,20;123,90;14,63
1,03;34,80;33,70;26,10;124,20;14,59
1,03;36,50;33,90;26,60;124,10;14,89
1,03;36,60;33,20;25,90;123,40;14,6
1,03;34,80;34,20;26,80;121,40;14,66
1,03;37,30;34,90;27,40;125,10;14,75
1,03;34,60;34,60;27,00;122,60;14,33
1,031;35,70;34,80;27,40;123,40;14,58
1,03;35,70;33,40;26,10;120,80;14,67
1,03;37,90;33,60;26,10;126,10;15,2
1,03;36,80;35,40;26,00;125,10;14,94
1,03;39,30;34,80;27,40;127,80;15,43
1,031;35,60;34,00;26,80;125,50;14,4
1,03;37,80;34,10;27,20;126,90;15,97
1,031;35,60;33,30;26,40;122,60;14,77
1,031;35,70;34,10;26,80;121,70;14,59
1,031;33,30;33,20;26,60;126,70;14,17
1,03;34,40;33,30;26,50;123,00;14,79
1,03;33,30;32,20;25,60;121,50;14,7
1,031;38,40;32,50;25,80;126,20;15,2
1,031;34,00;31,90;25,50;122,60;14,11
1,03;33,10;31,10;24,80;119,00;14,06
1,031;34,80;32,30;25,70;122,60;14,09
1,031;35,50;32,70;26,00;122,70;14,41
1,031;35,60;33,30;26,50;123,30;14,16
1,03;36,10;32,50;25,70;123,10;14,34
1,03;36,20;32,60;25,50;121,40;14,04
1,03;36,00;33,50;26,70;121,90;14,02
1,029;35,20;31,80;25,10;122,20;14
1,03;35,40;32,10;25,50;122,10;13,78
1,03;36,60;32,10;25,30;123,40;14,14
1,03;37,50;32,60;25,60;125,40;14,86
1,03;36,90;33,80;27,00;124,90;14,29
1,03;37,30;31,50;24,90;123,40;14,46
1,03;35,20;31,70;25,00;121,50;13,82
1,03;36,40;32,30;25,80;123,50;14,54
1,03;34,50;31,40;24,80;123,90;14,24
1,03;35,80;32,10;25,90;122,60;14,14
1,03;36,00;31,20;24,60;122,90;14,05
1,03;35,80;31,30;24,90;121,70;14,04
1,031;36,50;33,10;26,60;125,10;14,2
1,031;35,50;31,20;24,70;122,80;14,15
1,03;34,50;30,20;23,80;122,30;14
1,031;35,90;32,00;25,30;124,20;14,35
1,031;34,30;32,20;25,40;122,40;13,98
1,03;34,60;30,80;23,90;115,70;13,93
1,031;36,30;32,60;25,80;124,70;14,26
1,031;35,20;32,60;25,50;123,30;14,07
1,03;34,90;32,70;25,80;119,00;14,42
1,03;35,90;33,70;26,60;123,40;14,2
1,031;37,60;33,20;26,30;125,60;14,94
1,03;36,10;33,60;26,20;125,30;14,43
1,03;34,10;33,20;26,00;124,20;14,37
1,031;39,00;32,30;25,40;123,50;14,4
1,03;34,40;33,10;26,50;123,50;14,18
