Stations;RiviereOuAffluent;Lieu;ph;cond;CaCO3;dure;HCO3;Cl;mes;mo;NO3;NH4
1;Riviere;amont;7.8;193;120;150;120;7.5;3.4;0.37;1.56;0
2;Riviere;amont;7.8;232;140;160;140;10;5.4;0.35;1.1;0
2.1;Affluent;amont;7.9;213;145;160;140;7.5;3.8;0.5;0.88;0
2.2;Affluent;amont;8;242;160;180;175;10;13;0.62;1.51;0
3;Riviere;amont;7.8;258;145;185;145;10;6.4;0.42;1.51;0
3.1;Affluent;amont;7.7;265;140;170;170;12.5;4.8;0.4;0.55;0
3.2;Affluent;amont;7.8;283;155;180;165;10;4;0.45;0.9;0.02
3.3;Affluent;amont;7.9;261;150;180;160;12.5;1.4;0.37;0.24;0
4;Riviere;amont;7.8;287;150;170;155;15;13;0.42;0.62;0.01
5;Riviere;milieu;7.8;345;180;200;200;10;2.2;0.22;2.48;0.02
5.1;Affluent;milieu;7.9;392;150;185;170;25;9.4;0.85;2.92;0
6;Riviere;milieu;7.7;423;170;200;175;15;1.8;0.47;2.06;0.03
6.1;Affluent;milieu;8;421;170;240;180;25;1.8;0.35;2.7;0
7;Riviere;milieu;8;382;175;200;180;20;1.2;0.3;2.3;0.02
7.1;Affluent;milieu;8.1;317;140;185;155;17.5;5.8;0.55;0.34;0
8;Riviere;milieu;8;318;170;205;180;17.5;5;0.6;2.13;0.02
8.1;Affluent;milieu;7.8;341;175;195;190;10;45;1.67;0.33;0.03
8.2;Affluent;milieu;8.1;395;140;180;170;32.5;49;1.07;2.32;0.05
9;Riviere;milieu;8.1;374;175;200;180;30;7;0.42;2.6;0.02
9.1;Affluent;milieu;8;420;233;285;220;25;52.2;2.4;1.26;0.04
9.2;Affluent;milieu;8.1;339;180;220;190;15;9.6;0.82;2.48;0
9.3;Affluent;milieu;8.1;369;200;220;205;15;9;1.52;1.47;0
10;Riviere;milieu;8.1;388;170;210;175;35;3.2;0.52;1.72;0
11;Riviere;aval;7.9;453;160;210;190;55;5.4;0.35;2.68;0
11.1;Affluent;aval;7.9;482;190;210;185;55;13.2;2.15;1.52;0.5
12;Riviere;aval;7.9;430;180;230;180;55;11.4;1.17;1.96;0.09
13;Riviere;aval;8;446;180;220;190;57.5;13;0.75;1.77;0.02
13.1;Affluent;aval;8.2;290;140;170;145;15;4;0.77;0.94;0
14;Riviere;aval;8;436;180;235;185;45;8.8;0.67;1.36;0
14.1;Affluent;aval;7.9;329;130;185;150;20;4.2;0.9;1.01;0
15;Riviere;aval;7.8;422;155;215;180;35;10;0.37;0.66;0
