Carrure;Sport
33.1;Athletisme
31.5;Athletisme
35.5;Athletisme
37.3;Athletisme
33.3;Athletisme
36.2;Athletisme
33;Athletisme
36.3;Athletisme
39.1;Athletisme
34.5;Athletisme
35;Foot
36.4;Foot
36.3;Foot
35.9;Foot
42;Foot
35;Foot
35;Foot
33.2;Foot
35.5;Foot
39;Foot
36.8;Hand
39;Hand
41.9;Hand
36;Hand
36.4;Hand
34.1;Hand
29.5;Hand
35.9;Hand
33.6;Hand
34.2;Hand
31.5;Natation
41;Natation
42;Natation
39.1;Natation
42;Natation
41;Natation
39;Natation
38;Natation
36.5;Natation
37;Natation
39;Judo
42;Judo
37;Judo
35.2;Judo
35;Judo
41.5;Judo
39.5;Judo
35.4;Judo
39;Judo
33;Judo
35;Volley
34.8;Volley
36.8;Volley
32.1;Volley
35;Volley
37.6;Volley
41;Volley
38;Volley
40;Volley
37.5;Volley
