"Foret";"Age";"Diametre";"Hauteur";"Volume"
"StJust";"21";22;7.95;0.223
"StJust";"21";22;10.5;0.234
"StJust";"21";25;8.2;0.236
"StJust";"21";24;9.2;0.222
"Barres";"24";20;7.2;0.121
"Barres";"24";22;5.5;0.18
"StJust";"21";26;7.9;0.263
"StJust";"21";24;9.9;0.204
"StJust";"21";27;8.15;0.286
"StJust";"21";24;10.8;0.283
"StJust";"21";29;8.25;0.351
"StJust";"21";24;10.8;0.288
"StJust";"21";32;9.8;0.447
"StJust";"21";26;12;0.313
"StJust";"21";32;7.25;0.426
"StJust";"21";26;11;0.329
"StJust";"21";33;7.5;0.483
"StJust";"21";27;10.9;0.276
"StJust";"34";37;16;0.992
"StJust";"21";33;8.5;0.462
"StJust";"21";28;12.9;0.365
"StJust";"21";34;9.2;0.441
"StJust";"21";28;10.8;0.282
"StJust";"34";62;22.95;3.443
"StJust";"21";35;8.7;0.432
"StJust";"21";28;11.5;0.366
"Barres";"24";36;13;0.864
"StJust";"21";38;7.8;0.606
"StJust";"21";29;13.7;0.513
"StJust";"21";39;8.1;0.523
"StJust";"21";30;11.4;0.43
"StJust";"21";40;9.55;0.743
"StJust";"21";30;10.2;0.342
"StJust";"21";41;9.5;0.758
"StJust";"21";30;11.6;0.386
"StJust";"34";49;20.3;2.202
"StJust";"21";42;7.9;0.578
"StJust";"21";30;12.2;0.51
"StJust";"21";44;8.55;0.626
"StJust";"21";31;13.3;0.541
"StJust";"21";44;11.3;0.926
"StJust";"21";31;10.2;0.384
"StJust";"21";47;9.55;0.933
"StJust";"21";31;12.9;0.491
"StJust";"21";49;9.05;1.062
"StJust";"21";31;13.8;0.567
"StJust";"34";42;18;1.284
"StJust";"21";51;11.2;1.286
"StJust";"21";31;13.3;0.566
"StJust";"21";57;10.2;1.379
"StJust";"21";31;10.2;0.478
"StJust";"21";60;12.3;1.945
"StJust";"21";32;12.7;0.457
"StJust";"21";63;12;1.697
"StJust";"21";32;13;0.572
"StJust";"21";32;13.3;0.554
"StJust";"21";32;12.2;0.708
"StJust";"21";33;14.3;0.705
"StJust";"34";52;20;2.358
"StJust";"21";33;12.9;0.597
"Barres";"24";47;14;1.448
"StJust";"21";33;10.95;0.507
"Barres";".";72;20;3.944
"StJust";"21";33;11.8;0.604
"StJust";"21";34;12;0.633
"StJust";"21";35;10.5;0.483
"StJust";"21";35;11;0.501
"StJust";"21";35;10.8;0.657
"StJust";"21";35;12.7;0.611
"Barres";".";51;18.5;1.759
"StJust";"21";35;11.9;0.527
"StJust";"21";35;13.8;0.722
"StJust";"21";36;11.5;0.535
"Barres";".";46;18;1.586
"StJust";"21";36;12;0.673
"StJust";"21";36;13.1;0.674
"StJust";"21";37;13.7;0.699
"Barres";"24";50;16.5;1.953
"StJust";"21";37;12.6;0.665
"StJust";"21";37;12.85;0.704
"StJust";"21";37;14;0.833
"StJust";"21";38;11.5;0.688
"StJust";"21";38;13;0.83
"StJust";"21";39;12.4;0.721
"StJust";"21";39;13.6;0.966
"StJust";"34";60;18;2.738
"StJust";"21";39;13.1;0.842
"StJust";"21";41;13.6;1.043
"StJust";"21";42;12.7;0.83
"Barres";".";39;13;1.034
"StJust";"21";42;13.1;1.066
"StJust";"21";42;12.7;0.817
"StJust";"34";38;16.2;0.977
"StJust";"21";43;14.1;1.095
"StJust";"21";43;12.8;1.028
"StJust";"21";43;13.9;1.018
"StJust";"34";63;23.3;3.718
"StJust";"21";43;13.7;1.059
"StJust";"21";44;12.6;0.798
"Barres";"24";31;12.3;0.731
"StJust";"21";44;13.9;1.082
"StJust";"34";55;23.3;3.002
"StJust";"21";45;14.3;1.12
"StJust";"34";69;19.4;3.742
"StJust";"21";45;13.15;1.137
"StJust";"21";45;13.5;1.13
"StJust";"34";44;20;1.56
"StJust";"21";45;14;1.065
"StJust";"21";46;14.55;1.27
"StJust";"34";37;12.6;0.628
"Barres";".";37;15.75;0.933
"StJust";"21";46;11.9;0.87
