"DENSITE"	"BUTYREUX"	"PROTEINE"	"CASEINE"	"EXTRAITSEC"	"RENDEMENT"
"1,032000"	"37,700001"	"35,700001"	"28,500000"	"127,099998"	"15,350000"
"1,032000"	"37,500000"	"35,299999"	"28,000000"	"128,699997"	"14,720000"
"1,031000"	"37,000000"	"32,799999"	"25,299999"	"124,099998"	"14,610000"
"1,031000"	"39,500000"	"33,700001"	"26,799999"	"127,500000"	"14,560000"
"1,031000"	"36,000000"	"32,799999"	"25,900000"	"121,599998"	"13,740000"
"1,032000"	"36,000000"	"33,799999"	"26,900000"	"124,500000"	"14,310000"
"1,031000"	"36,000000"	"33,799999"	"26,900000"	"125,300003"	"14,130000"
"1,031000"	"36,700001"	"34,099998"	"27,000000"	"124,900002"	"14,160000"
"1,029000"	"37,200001"	"31,500000"	"24,799999"	"122,500000"	"14,130000"
"1,030000"	"35,000000"	"31,600000"	"24,900000"	"121,000000"	"14,580000"
"1,028000"	"34,700001"	"29,900000"	"23,500000"	"114,699997"	"13,830000"
"1,026000"	"31,500000"	"30,100000"	"23,600000"	"111,099998"	"13,180000"
"1,027000"	"30,500000"	"30,100000"	"23,799999"	"115,000000"	"13,450000"
"1,027000"	"31,600000"	"29,799999"	"23,299999"	"112,699997"	"12,820000"
"1,026000"	"34,900002"	"29,700001"	"23,200001"	"113,500000"	"13,360000"
"1,028000"	"35,700001"	"32,500000"	"25,700001"	"120,099998"	"14,610000"
"1,028000"	"37,900002"	"31,799999"	"25,000000"	"122,599998"	"14,740000"
"1,029000"	"34,599998"	"32,900002"	"26,100000"	"120,800003"	"13,740000"
"1,028000"	"36,599998"	"32,200001"	"25,299999"	"121,099998"	"14,630000"
"1,030000"	"37,200001"	"32,099998"	"25,600000"	"123,400002"	"14,740000"
"1,030000"	"34,000000"	"33,099998"	"26,400000"	"119,699997"	"13,800000"
"1,030000"	"35,299999"	"33,299999"	"26,000000"	"121,500000"	"14,070000"
"1,030000"	"35,799999"	"33,900002"	"26,600000"	"121,699997"	"14,570000"
"1,030000"	"35,900002"	"33,799999"	"26,500000"	"121,400002"	"14,880000"
"1,029000"	"34,799999"	"32,900002"	"26,200001"	"118,400002"	"13,990000"
"1,029000"	"35,900002"	"33,400002"	"26,299999"	"121,099998"	"14,120000"
"1,029000"	"35,500000"	"32,700001"	"25,400000"	"119,900002"	"13,810000"
"1,030000"	"35,799999"	"35,700001"	"28,000000"	"122,800003"	"14,690000"
"1,030000"	"37,000000"	"34,900002"	"27,700001"	"125,500000"	"15,310000"
"1,030000"	"35,799999"	"33,900002"	"26,799999"	"122,599998"	"14,370000"
"1,031000"	"34,200001"	"34,500000"	"27,200001"	"123,900002"	"14,630000"
"1,030000"	"34,799999"	"33,700001"	"26,100000"	"124,199997"	"14,590000"
"1,030000"	"36,500000"	"33,900002"	"26,600000"	"124,099998"	"14,890000"
"1,030000"	"36,599998"	"33,200001"	"25,900000"	"123,400002"	"14,600000"
"1,030000"	"34,799999"	"34,200001"	"26,799999"	"121,400002"	"14,660000"
"1,030000"	"37,299999"	"34,900002"	"27,400000"	"125,099998"	"14,750000"
"1,030000"	"34,599998"	"34,599998"	"27,000000"	"122,599998"	"14,330000"
"1,031000"	"35,700001"	"34,799999"	"27,400000"	"123,400002"	"14,580000"
"1,030000"	"35,700001"	"33,400002"	"26,100000"	"120,800003"	"14,670000"
"1,030000"	"37,900002"	"33,599998"	"26,100000"	"126,099998"	"15,200000"
"1,030000"	"36,799999"	"35,400002"	"26,000000"	"125,099998"	"14,940000"
"1,030000"	"39,299999"	"34,799999"	"27,400000"	"127,800003"	"15,430000"
"1,031000"	"35,599998"	"34,000000"	"26,799999"	"125,500000"	"14,400000"
