abies;acer;alnusfru;alnusund;apiaceae;artemisia;asterund;betunana;betula;brassicaceae;carpinus;chenopodiaceae;corylus;cyperaceae;ephedra;ericaceae;fagus;fraxinus;juniperus;larix;olea;picea;pinushap;pinus;plantago;poaceae;quercusever;quercusdec;salix;tilia;ulmus;tann;biome
0;0;0;0.91;0;0;0.23;0;6.83;0;0;0;1.37;19.13;0;36.67;0;0;0;0;0;0;0;15.72;1.37;17.31;0;0;0.23;0;0.23;4.627;COMX
0;0;0;0;0;0;0;0;0;1.39;0;1.39;0;0;0;84.72;0;0;0;0;0;0;0;0;12.5;0;0;0;0;0;0;5.115;TUND
0.08;0;0;2.27;0.17;0;0;0;45.32;0;0;0;0;2.02;0;4.21;0;0;0.93;0;0;4.89;0;31.59;0;8.42;0;0.08;0;0;0;0.256;COMX
0;0;0;2.34;0.2;0;0.2;0;2.73;0;0;0;10.16;0.78;0;71.29;0;0.78;0;0;0;0;0;0;1.37;7.62;0;2.34;0;0;0.2;6.518;COMX
0;0;0;0.2;0;0;0.2;0;0.2;0;0;0.2;0.81;2.02;0;49.6;0;0;0;0;0;0;0;1.21;5.67;37.65;0;0.4;1.42;0;0.4;7.148;TUND
0.67;0;0;1.33;0.33;1.33;4;0;0.67;0;0;0;0.67;46;0;0;0;0;0;0;0;0;0;31.33;0.67;9.33;0;3.33;0.33;0;0;10.806;WAST
0;0;0;21.4;0;0;0.33;0;6.69;0;0;0;16.05;1.34;0;15.38;0;0;0;0;0;0;0;7.02;0;28.43;0;3.01;0.33;0;0;5.967;COMX
1.91;0;0;10.64;1.49;0.43;1.91;0;3.62;0;1.06;0.64;4.04;12.55;0;0;5.96;1.49;0.64;0;0;11.06;0;17.66;9.79;0;0;12.98;1.06;0.43;0.64;9.936;COMX
10.81;0;0;1.16;0;2.32;0.39;0;0;0;0;0.77;0.77;2.7;0;0.39;0.77;0;0;3.47;2.32;3.47;0;38.61;5.79;16.22;0;8.49;0.39;0;0.77;2.466;COMX
0.27;0;0;1.6;0;0;1.07;0;0;0.27;0;0;0;40.11;0;0;0.8;0;0.8;0;1.07;0.53;0;40.11;2.41;4.28;0.27;6.42;0;0;0;7.07;TEDE
0;0;0;4.9;0;0.19;0.38;0;1.83;0;0;0.19;25.38;0.1;0;1.15;0.87;0.87;0;0.1;0;0.38;0;8.65;0.77;48.08;0;3.65;0.96;0.1;1.44;6.915;COMX
0;0.02;0;13.42;0.14;0.85;0.07;0;19.39;0.05;0.05;0.31;4.9;0.8;0;1.04;1.23;0.02;7.69;0;0;5.63;0;24.53;0.17;14.25;0;3.67;0.97;0.38;0.4;5.434;COMX
0;0;0;1.55;0;0.17;0;0;39.52;0;0;0;0.52;2.23;0;1.2;0;0;0.17;0;0;8.42;0;45.19;0;0.86;0;0;0.17;0;0;-0.711;COMX
0;0;0;4.76;0.22;0.11;3.35;0;5.3;0.22;0;0.54;4;1.84;0;15.46;0.32;0.32;0;0;0;0.97;0;2.7;1.08;56;0;1.95;0.32;0.22;0.32;6.172;COMX
3.03;0;0;3.03;0.43;0;1.3;0;0.43;0.43;1.73;1.3;6.49;14.72;0;1.3;19.91;0;0.87;0;0;0;0;2.16;3.03;26.41;0;12.99;0;0;0.43;8.575;TEDE
0.26;0.26;0;0;0.26;2.81;1.28;0;0;1.02;0;3.57;0.77;32.91;0;0;1.02;0.77;3.57;0;0.51;0;0;13.78;1.28;19.39;1.28;14.03;1.28;0;0;14.257;WAST
0;0;0;0;1.33;0.44;46.9;0;0;0.44;0;29.2;0;9.73;1.77;0;0;0;0;0;0;0;0;3.98;0;2.65;0.44;3.1;0;0;0;17.769;WAST
0.69;0;0;0;1.21;0.52;17.65;0;0;0.69;0;0.87;0;11.07;0;0;0;0;0.52;0;0.17;0;0;55.71;4.84;5.02;0;0.69;0.35;0;0;12.521;WAST
0;0;0;0.57;0.11;0.8;1.72;0;0;0.69;0;2.29;0;14.66;0;0.34;0;0;0.11;0;0.11;0;0;61.4;0.11;8.48;0;7.45;0.11;0;0.34;18.573;TEDE
0;0;0;0;0;0.6;3.41;0;0;0.2;0;2.61;0;2.61;0;0;0;0;0.8;0;0;0;0;88.38;0.2;0.6;0;0.6;0;0;0;12.387;TEDE
0;0;0;7.92;0;0.38;0.19;0;12.52;0.06;0.64;0.32;3.32;0.7;0;17.19;6.07;0.19;0;0;0;0.96;0;7.86;0.51;38.27;0;1.92;0.13;0.64;0.19;6.185;COMX
0;0;0;2.03;0.14;0.41;0;13.8;20.84;0;0;0;0;15.43;0;0.41;0;0;0.41;0;0;10.55;0;30.31;0;5.41;0;0;0.27;0;0;-0.062;COMX
0;0;0;12.57;0;0;0;0;26.11;0;0;0.12;0;16.05;0;7.54;0;0;0.36;0;0;1.92;0;27.54;0.12;4.79;0;0;2.87;0;0;1.297;COMX
0;0;0;0.99;0;0;0.17;0;61.09;0;0;0;0;2.48;0;0.33;0;0;0;0;0;0.33;0;33.77;0;0.83;0;0;0;0;0;1.226;COMX
0;10.11;0;13.93;0.67;1.8;1.12;0;2.47;1.57;2.7;0.67;0.45;0;0;1.12;0.22;0;0;0;0;0.22;0;30.11;1.35;20;0;9.21;1.57;0;0.67;7.913;TEDE
0;0;0;6.03;0.09;0.82;0;0;25.96;0;0.09;0.09;0.64;1.37;0;0.27;0.18;0.18;4.75;0;0;14.72;0;35.92;0.46;5.3;0;1.55;0.55;0.73;0.27;4.536;COMX
0;0;0;11.85;0.23;0.68;0.46;0;12.3;0;0;1.59;2.73;3.19;0;0.46;13.9;0.91;0;0;0;3.42;0;14.81;0.23;22.1;0;7.52;0.46;0.23;2.96;6.384;COMX
0;0;0;0.41;0.07;0.07;0.07;0;8.78;0;0.07;0.07;0;0;0;0.41;0.2;0;0;0;0;0.2;0;54.25;0.34;11.57;0;23.35;0.07;0;0.07;6.649;COMX
0;0;1.89;7.26;0;0.63;0;3.79;26.81;0;0;0;0;0;0;0.32;0;0;0;0.32;0;2.84;0;53;0;3.15;0;0;0;0;0;-8.146;COCO
0;0;0.38;11.79;0;1.9;0;9.51;36.12;0;0;0.76;0;3.42;0;0.38;0;0;0;11.41;0;0.38;3.04;4.94;0;12.55;0;0;3.42;0;0;-8.027;COCO
0;0;1.56;7.42;0.78;1.95;0;7.42;25.78;0;0;0;0;4.69;0;4.69;0;0;0;2.34;0;1.95;27.34;11.72;0;1.56;0;0;0.78;0;0;-4.499;COCO
0;0;0;14.25;0;0;5.16;0;4.18;0.25;0;0.74;4.91;8.85;0;0.25;0;0.25;0;0;0;0;0;0;4.67;52.83;0;3.19;0.49;0;0;9.207;COMX
0;0;0;1.02;0.34;0;0;0;1.02;0;0;0;1.71;2.73;0;76.11;0;0.68;0;0;0;0;0;0;1.37;12.97;0;2.05;0;0;0;8.652;COMX
0;0;0;2.82;0;0.19;1.13;0;15.82;0.19;0;0.19;0.38;33.33;0;2.45;0;0;5.08;0;0;0;0;21.28;0.19;15.63;0;1.13;0.19;0;0;3.344;COMX
0;0;0;9.95;0;0;0;0;31.28;0;0;0;4.88;0;0;2.71;0;0;4.34;0;0;1.27;0;43.76;0.18;0;0;0.36;0.18;0.72;0.36;2.828;COMX
0.28;0;0;1.99;1.14;0.85;0.28;0;1.14;0.85;0;0;4.27;17.66;0;9.97;0;0.28;0;0;0;0;0;0.28;0.28;42.17;0;17.95;0.57;0;0;10.299;WAST
0;0;0;11.82;0;0;0.91;0;27.73;0;0;0;2.73;2.73;0;0;0;0;0;0;0;9.09;0;39.09;0;2.73;0;1.36;0;0.91;0.91;3.136;COMX
0;0;0;1.67;0.51;0.26;1.03;0;1.92;0.51;0;0.38;1.03;6.67;0;0.13;0;0.26;0;0;0;0;0;0.77;1.41;78.46;0;2.95;0.13;0.26;1.67;7.543;WAST
0;0;0;1.53;0.02;0.02;0.18;0;3.34;0.1;0;0.14;1.65;0.22;0;52.52;0.37;0;0;0;0;0.16;0;3.11;0.57;34.41;0;1.45;0.08;0;0.12;7.769;COMX
0;0;0;7.8;0.15;0;1.26;0;18.72;0.52;0.07;0.37;6.61;12.93;0;7.21;0.97;0.45;0;0;0;0;0;3.57;4.68;28.75;0;4.98;0.74;0.07;0.15;7.769;COMX
0;0;0;7.76;0.23;0.11;0.91;0;27.4;0.8;0.8;1.37;20.89;4.34;0;0.34;2.4;0.23;0;0;0;0.11;0;12.56;1.26;12.67;0;5.37;0.34;0.11;0;7.762;COMX
0;0;0;8.91;0;0.81;1.62;0;31.98;0;0.81;1.21;5.26;2.83;0;0;0;0;0;0;0;4.05;0;38.46;0;3.24;0;0.81;0;0;0;4.511;COMX
0;0;0;10.84;0;0;0.96;0;22.17;0;0;0;4.1;1.2;0;0.72;0;0;0;0;0;15.42;0;39.28;0;1.93;0;0.24;0;1.2;1.93;3.642;COMX
0;0;0;10.73;0;0.38;0;0;19.54;0;0;0.77;5.36;1.53;0;7.66;0;0;0;0;0;10.73;0;37.16;0;2.68;0;0.77;1.92;0;0.77;4.459;COMX
2.52;0;0;0.42;0;0;0.42;0;0;0;0;0;0;26.47;0.42;0;0.42;0;0;0.42;2.94;0.84;0.42;61.34;0.84;1.26;0;0.84;0.42;0;0;3.244;TEDE
0;0;0;10.88;0.42;0;24.27;0;3.35;0.42;0.42;0.84;6.69;21.76;0;2.09;0.42;0;0;0;0;0;0;4.18;0.42;12.97;0;8.79;0;0.42;1.67;9.094;TEDE
0;0.34;0;2.76;0;1.03;2.41;0;1.03;0;0;0;2.76;7.24;0;20.69;6.21;0;0;0;2.07;0;0;13.79;4.83;27.59;0.69;5.86;0.34;0;0.34;13.267;TEDE
0;0.28;0;3.63;0.28;0;1.4;0;0.56;0;0;1.4;3.91;5.03;0;13.41;6.98;0.56;0;0;2.23;0;0;14.53;3.07;29.33;1.12;11.45;0.56;0;0.28;13.47;COMX
0.55;0;0;0;0.27;0.55;0.27;0;0.27;0.82;0;0.27;0.55;46.85;0.27;0;0;0;1.64;0;0.55;0.55;0;35.89;1.37;5.75;0;3.01;0.27;0;0.27;7.07;WAST
3.01;0;0;1.5;0;0.75;3.76;0;0;0.75;3.76;0;2.26;33.83;0;0;0.75;0.75;1.5;0;0;2.26;0;18.05;0;20.3;0;6.02;0.75;0;0;11.406;TEDE
0;0;0;0;3.62;5.8;47.83;0;0;4.35;0.72;27.54;0;2.17;0;0;0;0;0;0;0;2.17;0;1.45;0;2.9;0;1.45;0;0;0;14.605;WAST
