MoisNais;Temps_50m;vitesse
1;6.800;7.352941
12;6.930;7.215007
4;7.090;7.052186
11;6.603;7.572316
3;6.540;7.645260
2;6.420;7.788162
2;6.990;7.153076
1;6.810;7.342144
8;7.140;7.002801
3;7.450;6.711409
2;7.330;6.821282
5;6.730;7.429421
8;6.620;7.552870
7;6.700;7.462687
7;6.500;7.692308
1;6.740;7.418398
3;6.430;7.776050
4;6.770;7.385524
5;6.510;7.680492
1;6.980;7.163324
6;7.160;6.983240
2;6.020;8.305648
11;6.550;7.633588
2;6.280;7.961783
2;6.240;8.012821
1;6.630;7.541478
6;6.690;7.473842
2;7.280;6.868132
10;7.830;6.385696
11;7.120;7.022472
10;7.250;6.896552
4;6.910;7.235890
2;6.480;7.716049
8;7.740;6.459948
11;7.900;6.329114
1;6.890;7.256894
8;7.100;7.042254
6;7.700;6.493506
3;7.410;6.747638
5;6.410;7.800312
2;7.100;7.042254
4;6.320;7.911392
5;7.270;6.877579
2;6.260;7.987220
8;7.100;7.042254
12;6.680;7.485030
4;7.040;7.102273
2;7.040;7.102273
2;6.510;7.680492
2;6.620;7.552870
9;6.490;7.704160
8;7.510;6.657790
8;7.100;7.042254
1;6.670;7.496252
6;7.110;7.032349
3;6.490;7.704160
9;7.870;6.353240
2;7.190;6.954103
2;6.790;7.363770
3;6.660;7.507508
2;6.850;7.299270
6;7.430;6.729475
1;7.030;7.112376
3;6.920;7.225434
3;7.460;6.702413
6;6.960;7.183908
2;7.010;7.132668
2;6.400;7.812500
5;7.480;6.684492
1;7.020;7.122507
10;7.250;6.896552
4;7.500;6.666667
